ITEM NO.	PART NUMBER	DESCRIPTION	QTY.
147	Pulley_Thumb_Spring_L_v3_NYLON		1
148	Torsion_spring_0.75Thick_4Diam_5Turns_L		1
149	Finger_Base_THUMB_L_v3_NYLON		1
150	Finger_3_THUMB_L_v3_NYLON		1
151	finger_bar_wheel_INDEX_L_v3_NYLON		1
152	finger_bar_wheel_L_v3_NYLON		1
153	finger_bar_wheel_MIDDLE_L_v3_NYLON		1
154	finger_bar_wheel_PINKY_L_v3_NYLON		1
155	Finger_wheel_central_L_v3_NYLON		1
156	hand_small_Support_L_v3_NYLON		1
157	Finger_2_THUMB_L_v3_NYLON		1
158	Finger_1_THUMB_L_v3_NYLON		1
159	Wire_Middle_L		1
160	Wire_Pinky_L		1
161	Wire_Ring_L		1
162	finger_base_INDEX_L_v3_NYLON		1
163	finger_base_PINKY_L_v3_NYLON		1
164	finger_base_RING_L_v3_NYLON		1
165	Finger_1_INDEX_L_v3_NYLON		1
166	Finger_2_INDEX_L_v3_NYLON		1
167	Finger_3_INDEX_L_v3_NYLON		1
168	Finger_1_MIDDLE_L_v3_NYLON		1
169	Finger_2_MIDDLE_L_v3_NYLON		1
170	Finger_3_MIDDLE_L_v3_NYLON		1
171	Finger_1_RING_L_v3_NYLON		1
172	Finger_2_RING_L_v3_NYLON		1
173	Finger_3_RING_L_v3_NYLON		1
174	Finger_1_PINKY_L_v3_NYLON		1
175	Finger_2_PINKY_L_v3_NYLON		1
176	Finger_3_PINKY_L_v3_NYLON		1
177	hand_small_TOP_L_v3_NYLON		1
178	Gear_Wrist_L_v3_NYLON		1
179	NUT_M2.5_lock		4
180	Screw_M2X5mm_Hex 		22
181	Screw_M3X6mm_Hex 		4
182	Arm_small_gear_1_L_v3_NYLON		1
183	Screw_M3X8mm_Count		8
184	Screw_M3X8mm_Count_Self		8
185	Shoulder_housingA_v3_NYLON		2
186	Shoulder_housingC_v3_NYLON		2
